Club,Pool(s),Country,Founded,Stadium,Capacity,Training Facilities /10,Youth Facilities /10,League Titles,Domestic Cup Wins,European Trophies,Current World Reputation /10,Historical World Reputation /10,Ballon d'Or Winners Played For Club,Transfer Spending /10,Transfer Strategy
Arsenal,"Premier League, Champions League Pool",England,1886,Emirates Stadium,60704,10,10,"League 13; FA Cup 14; League Cup 2; European: Cup Winners' Cup 1, Inter-Cities Fairs Cup 1","League 13; FA Cup 14; League Cup 2; European: Cup Winners' Cup 1, Inter-Cities Fairs Cup 1","League 13; FA Cup 14; League Cup 2; European: Cup Winners' Cup 1, Inter-Cities Fairs Cup 1",9,8,,8,Elite spending / marquee signings
AFC Bournemouth,"Premier League, Europa League Pool",England,1899,Vitality Stadium,11307,6,6,Not yet entered,Not yet entered,Not yet entered,6,6,None known,6,Balanced / selective spending
Liverpool,"Premier League, Champions League Pool",England,1892,Anfield,61276,9,10,"League 20; FA Cup 8; League Cup 10; European: European Cup/Champions League 6, UEFA Cup/Europa League 3, Cup Winners' Cup 0","League 20; FA Cup 8; League Cup 10; European: European Cup/Champions League 6, UEFA Cup/Europa League 3, Cup Winners' Cup 0","League 20; FA Cup 8; League Cup 10; European: European Cup/Champions League 6, UEFA Cup/Europa League 3, Cup Winners' Cup 0",9,10,Michael Owen,8,Elite spending / marquee signings
Leeds United,Premier League,England,1919,Elland Road,40204,6,6,League 3; FA Cup 1; League Cup 1; European: Fairs Cup 2,League 3; FA Cup 1; League Cup 1; European: Fairs Cup 2,League 3; FA Cup 1; League Cup 1; European: Fairs Cup 2,6,5,None known,6,Balanced / selective spending
Crystal Palace,"Premier League, Europa League Pool",England,1905,Selhurst Park,26309,7,8,Not yet entered,Not yet entered,Not yet entered,6,6,None known,6,Balanced / selective spending
Brentford,Premier League,England,1889,Gtech Community Stadium,17250,8,9,Not yet entered,Not yet entered,Not yet entered,6,5,None known,6,Balanced / selective spending
Hull City,Premier League,England,1904,MKM Stadium,25586,6,6,Not yet entered,Not yet entered,Not yet entered,6,5,None known,5,Balanced / selective spending
Brighton & Hove Albion,Premier League,England,1901,Amex Stadium,31872,9,9,Not yet entered,Not yet entered,Not yet entered,6,5,None known,6,Balanced / selective spending
Everton,Premier League,England,1878,Hill Dickinson Stadium,52769,6,6,League 9; FA Cup 5; League Cup 0; European: Cup Winners' Cup 1,League 9; FA Cup 5; League Cup 0; European: Cup Winners' Cup 1,League 9; FA Cup 5; League Cup 0; European: Cup Winners' Cup 1,6,5,None known,6,Balanced / selective spending
Newcastle United,Premier League,England,1892,St James' Park,52305,8,8,League 4; FA Cup 6; League Cup 0; European: Fairs Cup 1,League 4; FA Cup 6; League Cup 0; European: Fairs Cup 1,League 4; FA Cup 6; League Cup 0; European: Fairs Cup 1,6,5,None known,6,Balanced / selective spending
Nottingham Forest,Premier League,England,1865,The City Ground,30576,6,6,League 1; FA Cup 2; League Cup 4; European: European Cup 2,League 1; FA Cup 2; League Cup 4; European: European Cup 2,League 1; FA Cup 2; League Cup 4; European: European Cup 2,6,5,None known,5,Balanced / selective spending
Ipswich Town,Premier League,England,1878,Portman Road,30311,6,6,Not yet entered,Not yet entered,Not yet entered,6,5,None known,5,Balanced / selective spending
Manchester City,"Premier League, Champions League Pool",England,1880,Etihad Stadium,55097,10,10,"League 10; FA Cup 7; League Cup 9; European: Champions League 1, Cup Winners' Cup 1","League 10; FA Cup 7; League Cup 9; European: Champions League 1, Cup Winners' Cup 1","League 10; FA Cup 7; League Cup 9; European: Champions League 1, Cup Winners' Cup 1",9,8,Rodri,8,Elite spending / marquee signings
Tottenham Hotspur,Premier League,England,1882,Tottenham Hotspur Stadium,62062,9,9,"League 2; FA Cup 8; League Cup 4; European: UEFA Cup/Europa League 2, Cup Winners' Cup 1","League 2; FA Cup 8; League Cup 4; European: UEFA Cup/Europa League 2, Cup Winners' Cup 1","League 2; FA Cup 8; League Cup 4; European: UEFA Cup/Europa League 2, Cup Winners' Cup 1",8,7,None known,8,Elite spending / marquee signings
Aston Villa,"Premier League, Champions League Pool",England,1874,Villa Park,42657,8,8,League 7; FA Cup 7; League Cup 5; European: European Cup 1,League 7; FA Cup 7; League Cup 5; European: European Cup 1,League 7; FA Cup 7; League Cup 5; European: European Cup 1,7,7,None known,6,Balanced / selective spending
Chelsea,Premier League,England,1905,Stamford Bridge,40341,10,10,"League 6; FA Cup 8; League Cup 5; European: Champions League 2, Europa League/UEFA Cup 2, Cup Winners' Cup 2, Conference League 0","League 6; FA Cup 8; League Cup 5; European: Champions League 2, Europa League/UEFA Cup 2, Cup Winners' Cup 2, Conference League 0","League 6; FA Cup 8; League Cup 5; European: Champions League 2, Europa League/UEFA Cup 2, Cup Winners' Cup 2, Conference League 0",9,8,No Ballon d'Or winner,8,Elite spending / marquee signings
Fulham FC,Premier League,England,1879,Craven Cottage,29589,6,6,Not yet entered,Not yet entered,Not yet entered,6,5,None known,6,Balanced / selective spending
Sunderland,"Premier League, Europa League Pool",England,1879,Stadium of Light,49000,6,6,League 6; FA Cup 2; League Cup 0,League 6; FA Cup 2; League Cup 0,League 6; FA Cup 2; League Cup 0,6,6,None known,5,Balanced / selective spending
Manchester United,"Premier League, Champions League Pool",England,1878,Old Trafford,75543,9,9,"League 20; FA Cup 13; League Cup 6; European: European Cup/Champions League 3, Europa League 1, Cup Winners' Cup 1","League 20; FA Cup 13; League Cup 6; European: European Cup/Champions League 3, Europa League 1, Cup Winners' Cup 1","League 20; FA Cup 13; League Cup 6; European: European Cup/Champions League 3, Europa League 1, Cup Winners' Cup 1",9,10,George Best; Bobby Charlton; Cristiano Ronaldo,8,Elite spending / marquee signings
Coventry City,Premier League,England,1883,Coventry Building Society Arena,32609,6,6,League 0; FA Cup 1,League 0; FA Cup 1,League 0; FA Cup 1,6,5,None known,5,Balanced / selective spending
Queens Park Rangers,Championship,England,1882,Loftus Road,18439,5,5,League 0; League Cup 1,League 0; League Cup 1,League 0; League Cup 1,5,5,None known,5,Balanced / selective spending
